unit_nr,event,time,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13
1,1,148,148.0,-4.830000000000041,10952.0,-4129.414999999996,3414.5749999999925,11.664450000004763,540298.666666667,-332916.3650000003,54679.310000000165,132565.68036666675,225338.89499999944,-245186.2862833333,114346.94451666682,-18.779764500126475
2,1,268,268.0,-91.92999999999995,35912.0,-7641.485000000005,-16995.754999999983,4225.562449999993,3208138.6666666637,-968223.3116666648,-111471.3566666671,232234.90679999956,-2221695.4916666625,238011.90244999775,662203.9273499992,-129485.31867616605
3,1,205,205.0,14.67999999999995,21012.5,-5657.330000000004,8666.730000000001,107.75120000000288,1435854.1666666672,-615604.3133333342,71455.9766666666,162169.88981666637,852611.8366666666,-407389.384033334,267308.4902166667,527.262538666575
4,1,234,234.0,94.82999999999993,27378.0,14882.514999999985,7307.705000000002,4496.364449999997,2135484.0000000023,1748567.3049999985,-14626.10000000028,587886.8645999992,862314.5350000001,235535.16824999906,228727.24844999993,142130.08026449953
5,1,153,153.0,-4.8799999999999955,11704.5,-4060.960000000009,3314.320000000005,11.90720000000104,596929.5000000001,-317326.03333333373,13325.186666666417,120077.5130666672,246882.88666666707,-220337.54133333353,102081.82986666694,-19.369045333486554
6,1,174,174.0,-56.1099999999999,15138.0,-5017.834999999988,-4745.304999999988,1574.166049999998,878003.9999999993,-406003.58166666544,-61096.12666666633,158061.64478333297,-382293.47166666534,-34572.56771666736,150415.81563333335,-29442.15235516666
7,1,173,173.0,-54.18999999999994,14964.5,-5373.5049999999865,-4001.364999999997,1468.278050000002,862952.8333333327,-514912.00166666595,100207.63833333369,156901.2288999998,-396221.89166666655,-22612.221850000333,119723.09560000004,-26521.995843166576
8,1,150,150.0,-13.230000000000018,11250.0,-6677.065000000004,4692.564999999993,87.51644999999849,562500.0000000002,-521855.42499999976,42151.09999999965,214460.0115333337,330866.8249999997,-340582.45311666664,139249.909083333,-385.94754450029603
9,1,198,198.0,50.40999999999997,19602.0,4880.324999999996,5100.854999999994,1270.58405,1293732.0,492245.44166666694,-18186.533333333555,161514.87415000016,514077.91166666604,-77012.56505000028,167073.33279999968,21350.047320166712
10,1,183,183.0,94.53999999999996,16744.5,12740.82,4560.0,4468.905799999994,1021414.499999999,1126888.0666666653,77793.92666666684,528589.2545999992,378343.0366666665,147338.61359999978,141881.89319999985,140830.1181106662
11,1,270,270.0,-56.17000000000007,36450.0,-7123.63500000002,-8042.265000000002,1577.5344500000042,3280499.9999999967,-1006361.001666669,89340.55333333275,216737.85341666755,-1130376.0516666668,-33341.12888333364,242537.57696666714,-29536.70335216709
12,1,248,248.0,56.860000000000014,30752.0,6279.489999999995,7821.790000000001,1616.529799999996,2542165.3333333335,754584.9666666656,48143.58666666539,187370.13013333274,945830.1666666676,-17688.458866666293,231217.71913333298,30638.628142666254
13,1,226,226.0,-47.319999999999936,25538.0,-5763.829999999993,-4930.4899999999925,1119.5911999999944,1923862.6666666688,-647298.0766666667,-8029.426666666897,188749.11194999958,-553130.6566666659,-104753.78830000044,169032.28754999946,-17659.6851946663
14,1,192,192.0,-5.279999999999973,18432.0,-5573.2400000000025,4559.480000000007,13.939199999999857,1179647.9999999995,-525328.6500000006,-19404.780000000042,156765.2635666664,447412.47000000055,-284103.81993333343,130014.88276666675,-24.532991999931703
15,1,208,208.0,94.74000000000001,21632.0,13366.610000000008,6339.309999999996,4487.833800000004,1499818.6666666674,1353866.0,72522.8799999999,528670.7217666663,623026.7999999985,209011.1878666664,195787.52076666697,141725.7914039999
16,1,153,153.0,1.2799999999999727,11704.5,-5935.410000000007,6131.250000000004,0.8192000000008193,596929.5000000001,-459527.30666666717,10936.883333333122,185481.5218000002,463572.1833333336,-378560.36840000056,193204.1842000004,0.3495253331202548
17,1,179,179.0,-91.51999999999998,16020.5,-4232.440000000004,-12149.640000000005,4187.955199999997,955889.8333333324,-408390.45333333267,59174.14666666679,127194.13208333339,-1116979.8533333328,132964.64463333396,489485.2040833329,-127760.55330133326
18,1,208,208.0,-1.4599999999999227,21632.0,5689.37000000001,-5993.049999999996,1.0657999999998538,1499818.6666666674,611216.5266666672,-39044.09333333318,165284.99153333303,-603755.1533333331,-338876.463266667,173813.1581333335,-0.5186893334030174
19,1,162,162.0,-53.76999999999998,13122.0,-4572.175000000005,-4138.564999999994,1445.606449999998,708587.9999999998,-370772.1516666667,851.9533333332135,131354.06021666658,-335649.7416666664,-16862.27068333351,119696.45536666633,-25910.08627216646
20,1,153,153.0,106.48000000000002,11704.5,9752.190000000008,6539.249999999994,5668.9952,596929.5000000001,737943.006666667,16199.05666666659,377145.0665666673,492153.09666666616,284123.05806666653,206088.14096666616,201211.53629866662
21,1,188,188.0,1.919999999999959,17672.0,-3995.6399999999976,4356.600000000001,1.8432000000022981,1107445.3333333326,-390564.49,29948.66000000049,138387.51649999968,394546.0700000002,-284446.66180000035,146405.66690000036,1.1796479998738505
22,1,191,191.0,-91.76999999999998,18240.5,-5562.754999999987,-11965.315000000004,4210.866449999994,1161311.8333333328,-573891.2749999996,85296.34500000019,168302.86486666565,-1185335.7549999997,173888.29661666616,462084.33046666684,-128810.40470549953
23,1,210,210.0,-55.82999999999993,22050.0,-6230.384999999984,-5493.914999999996,1558.4944499999929,1543500.000000001,-711632.2149999994,114883.58000000032,190758.03958333263,-634302.8649999995,-33673.684616666724,170199.47953333313,-29003.58171449948
24,1,190,190.0,-56.95999999999992,18050.0,-5616.479999999992,-5205.919999999988,1622.2207999999976,1143166.666666666,-497217.9033333329,-72695.39333333341,177130.50471666636,-458214.70333333284,-34346.30863333403,165437.75591666676,-30800.565589332957
25,1,204,204.0,57.15000000000009,20808.0,5656.255000000009,6002.345000000012,1633.061250000003,1414944.0000000005,598547.2350000001,-43218.45000000003,164080.94265000045,633848.4149999997,-4906.912050000043,173970.46440000023,31109.81681249976
26,1,186,186.0,-105.16000000000008,17298.0,-7433.56000000001,-12126.200000000017,5529.312800000006,1072475.999999999,-719172.8466666673,55703.53333333381,235809.9189166675,-1155588.3666666683,310093.33176666737,482548.93011666666,-193820.844682667
27,1,175,175.0,-90.94000000000005,15312.5,-5297.170000000013,-10617.330000000005,4135.041799999999,893229.1666666659,-477943.50666666793,28882.263333333136,159556.80344999974,-943457.5066666672,162611.03290000034,401464.4786499993,-125346.90043066628
28,1,199,199.0,56.51999999999998,19800.5,5434.109999999993,5813.370000000003,1597.2551999999982,1313433.1666666667,518284.39999999956,44819.09000000038,168986.5351166669,556020.7700000003,-30837.17303333332,179704.4227166665,30092.287967999826
29,1,150,150.0,1.25,11250.0,3947.3050000000085,-3759.805000000005,0.781249999998181,562500.0000000002,318060.308333334,-44024.86666666638,114134.48773333305,-259972.94166666677,-223334.8442166669,109317.54398333334,0.3255208330738242
30,1,165,165.0,1.0499999999999545,13612.5,4520.385,-4347.135000000007,0.5512499999990723,748687.4999999997,369782.8650000007,6297.795000000158,134495.13558333358,-361787.5350000005,-264243.8669166671,129839.68758333343,0.19293750016367994
31,1,342,342.0,107.08000000000004,58482.0,23035.590000000015,13585.769999999997,5733.0632000000005,6666948.000000008,3942502.5766666676,-6833.373333331737,927764.0732166653,2326583.3566666665,611122.8307666673,421820.71041666623,204632.13581866655
32,1,280,280.0,106.88,39200.0,17267.629999999997,12658.769999999984,5711.667199999997,3658666.666666662,2378618.373333335,77699.65333333293,658845.3504166651,1733377.9733333301,527873.5935666657,412547.8720166669,203487.66344533337
33,1,194,194.0,13.730000000000018,18818.0,-5063.875000000004,7727.495000000008,94.25644999999986,1216897.333333333,-510070.28166666685,37748.8133333331,147113.15786666665,730692.608333334,-363753.31948333397,234925.91291666683,431.3803528335993
34,1,204,204.0,-35.889999999999986,20808.0,4981.084999999998,-12302.644999999999,644.0460499999973,1414944.0000000005,564863.0083333332,-113584.67666666658,156430.77845,-1198077.451666665,-491632.69754999963,466587.3132999992,-7704.9375781664085
35,1,195,195.0,0.7900000000000773,19012.5,-6415.094999999993,6569.145000000008,0.31205000000022665,1235812.4999999998,-624789.5483333325,-1364.428333333287,190512.40011666584,641173.8516666671,-386092.7252833331,195641.17491666676,0.0821731667892891
36,1,202,202.0,-1.3899999999999864,20402.0,5079.795,-5360.5750000000035,0.9660500000003367,1373734.666666667,473535.93833333376,79046.7133333332,165829.19244999936,-580941.4316666675,-338719.2999500005,173085.24959999998,-0.4476031665708433
37,1,209,209.0,107.64999999999998,21840.5,13501.854999999978,8996.995000000003,5794.261249999998,1521554.8333333342,1408950.7916666653,3986.1116666656108,531722.7173333324,938192.9216666671,390029.25608333346,289248.627833333,207917.40785416664
